Book Title,Author,Author VIAF Number,Translator,Translator VIAF Number,Publisher,University Press,University_Press_STND,Translator on Cover,Translator_on_Cover_STND,Trans_Pub_Date,Trans_Publication_Country,Language ,Original_Pub_Date,Original_Publication_Country,Author Gender,Author_Gender,Author_Residence,Author_Latitude,Author_Longitude,Translator Gender,Trans_Gender,Trans_Residence,Trans_Latitude,Trans_Longitude,Text_Type,Pages_in_Translation,Pages_in_Paratexts,Paratexts Type,Glossary or Notes,Glossary_or_Notes_STND,No._of_terms_in_Glossary_or_Notes,Examples_Words_in_Glossary_or_Notes,Religious Glossary Terms,Religious_Glossary_Terms_STND (Y/N=1/0),Food Glossary Terms,Food_Glossary_Terms_STND (Y/N=1/0),Clothing Glossary Terms,Clothing_Glossary_Terms_STND (Y/N=1/0),Culture or Customs in Glossary,Culture_or_Customs_in_Glossary_STND (Y/N=1/0),Historical_Figures_in_Glossary_STND (Y/N=1/0),Awards_in_Original,Awards_in_Trans
A Tunisian Tale,"Mosbahi, Hassouna",63235656,"Weiss, Max",107347284,AUC,Y,1,Y,1,2011,Egypt,Arabic,2008,UAE,M,1,Tunisia,33.886917,9.537499,M,1,USA,37.09024,-95.712891,Novel,139,,Glossary,Y,1,20,"Tunisian figures, Azrael, fatira, malouf, shashiya cap, umma","Azrael, umma",1,fatira,1,shashiya cap,1,"Tunisian figures, malouf",1,1,-,-
Memory in the Flesh,"Mosteghanemi, Ahlam ",119088257,"Ahmar Sreih, Baria",74128961,AUC,Y,1,N,0,2000,Egypt,Arabic,1985,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Lebanon,33.854721,35.862285,Novel,245,,"Dedication,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Medal for Literature (1999),-
Chaos of the Senses,"Mosteghanemi, Ahlam ",119088257,"Ahmar Sreih, Baria ",74128961,AUC,Y,1,N,0,2004,Egypt,Arabic,1998,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Lebanon,33.854721,35.862285,Novel,224,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Memory in the Flesh (revised translation),"Mosteghanemi, Ahlam ",119088257,"Ahmar Sreih, Baria & Clark, Peter ",74128961,AUC,Y,1,N,0,2003,Egypt,Arabic,1985,Lebanon,F,0,Lebanon,33.854721,35.862285,"F, M",-,Lebanon,33.854721,35.862285,Novel,262,,"Dedication,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Bridges of Constantine ,"Mosteghanemi, Ahlam ",119088257,"Cohen, Raphael",82920405,Bloomsbury,N,0,N,0,2014,UK,Arabic,1993,Lebanon,F,0,Algeria,28.033886,1.659626,M,1,Egypt,26.820553,30.802498,Novel,305,,"Glossary,   Translator's Introduction,   Quotation,   Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,1998 Naguib Mahfouz Medal for Literature,-
The Dust of Promises,"Mosteghanemi, Ahlam ",119088257,"Roberts, Nancy",47001671,Bloomsbury ,N,0,N,0,2016,UK,Arabic,2009,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,USA,37.09024,-95.712891,Novel,294,,"Dedication,   Author Bio,   Translator Bio",Y,1,37,"eid, fatiha, bouzellouf, qalb al-lawz, zalabia, disadasha, hijab, malaya, zindali","eid, fatiha, ",1,"bouzellouf, qalb al-lawz, zalabia",1,"disadasha, hijab, malaya",1,zindali,1,1,-,-
Vertigo,"Mourad, Ahmed",17016449,"Moger, Robin",121559456,A&C Black,N,0,N,0,2011,Qatar,Arabic,2007,Egypt,M,1,Egypt,26.820553,30.802498,M,1,South Africa,-30.559482,22.937506,Novel,369,,"Acknowledgements,   Glossary,   Translator Bio",Y,1,33,"Prophet Youssef, bismillah, eid, hajj, haram, jinn, nadaha, rakaa, bastirma, eish wa malh, fuul, irqsus, khalta rice, koshari, molokhiyya, shawerma, gallabiya, hijab, khimar, niqab, basha, bey, nuqta, piastre","bismillah, eid, hajj, haram, jinn, nadaha, rakaa, ",1,"bastirma, eish wa malh, fuul, irqsus, khalta rice, koshari, molokhiyya, shawerma",1,"gallabiya, hijab, khimar, niqab, ",1,"basha, bey, nuqta, piastre",1,1,-,The Mediterranean Culture Award of 2013
Seeds of Corruption,"Moussa, Sabri ",64230721,"Mikhail, Mona",69031580,Houghton Mifflin,N,0,Y,1,1980,USA,Arabic,1976,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,169,,"Dedication,   Publisher's Note,   Glossary",Y,1,19,"am, bey, effendi, fatiha, al-hajj, hanim, jabal, jallabiyya, al-khawaja, muharram, sheikh","fatiha, al-hajj, muharram",1,-,0,jallabiyya,1,"am, bey, effendi, hanim",1,0,-,-
Seeds of Corruption,"Moussa, Sabri ",64230721,"Mikhail, Mona",69031580,Interlink,N,0,Y,1,2002,USA,Arabic,1976,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,169,,Glossary,Y,1,19,"am, bey, effendi, fatiha, al-hajj, hanim, jabal, jallabiyya, al-khawaja, muharram, sheikh","fatiha, al-hajj, muharram",1,-,0,jallabiyya,1,"am, bey, effendi, hanim",1,0,-,-
Love with a Few Hairs,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,City Lights,N,0,Y,1,1968,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,198,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Boy Who Set the Fire,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Black Sparrow,N,0,Y,1,1974,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Short stories,115,,"Image,   Author Bio,   Translator Bio,    Illustrator Bio,   Bibliography,   Translator's bibliography",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Look and Move On,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Black Sparrow,N,0,Y,1,1976,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,"Morocco, USA",40.9461457,-87.4533626,Novel,119,,Author Bio,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Big Mirror,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Black Sparrow,N,0,Y,1,1977,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,"Morocco, USA",40.9461457,-87.4533626,Novel,71,,"Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Beach Cafe,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Black Sparrow,N,0,Y,1,1980,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,"Morocco, USA",40.9461457,-87.4533626,Novel,78,,Author Bio,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Lemon,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,City Lights,N,0,Y,1,1986,USA,Arabic,1969,-,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Novel,176,,Quotation,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Marriage with Papers,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Tombouctou Books,N,0,N,0,1986,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,Morocco,31.791702,-7.09262,Short stories,67,,Contents Page,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Chocolate Creams and Dollars,"Mrabet, Mohammed",95199239,"Bowles, Paul",112464042,Inanout Press,N,0,Y,1,1992,USA,Arabic,-,-,M,1,Morocco,31.791702,-7.09262,M,1,"Morocco, USA",40.9461457,-87.4533626,Short stories,178,,"Dedication,   Translator's Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Endings,"Munif, Abdelrahman ",95290221,"Allen, Roger",22256175,Quartet,N,0,N,0,1988,USA,Arabic,1977,Egypt,M,1,Syria ,34.802075,38.996815,M,1,USA,37.09024,-95.712891,Novel,140,,"Translator's Note,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Cities of Salt,"Munif, Abdelrahman ",95290221,"Theroux, Peter",92000990,Vintage International,N,0,N,0,1989,USA,Arabic,1984,Lebanon,M,1,Syria,34.802075,38.996815,M,1,USA,37.09024,-95.712891,Novel,627,,"Quotation,   Quotation,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Trench,"Munif, Abdelrahman ",95290221,"Theroux, Peter",92000990,Pantheon,N,0,N,0,1991,USA,Arabic,1986,Lebanon,M,1,Syria,34.802075,38.996815,M,1,USA,37.09024,-95.712891,Novel,554,,Translator's Introduction,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Variations on Night and Day,"Munif, Abdelrahman ",95290221,"Theroux, Peter",92000990,Pantheon,N,0,N,0,1993,USA,Arabic,1989,Lebanon,M,1,Syria,34.802075,38.996815,M,1,USA,37.09024,-95.712891,Novel,333,,Contents Page,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Tales from Dayrut,"Mustagab, Mohamed",95290162,"Davies, Humphrey",228562256,AUC,Y,1,Y,1,2008,Egypt ,Arabic,"1983, 1984",Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,203,,"Introduction,   Author Bio,   Introduction,  Author Bio,   Translator Bio",Y (Notes),1,45,"Explanations, Qur'anic references etc. ",Quranic references,1,-,0,?,0,?,0,0,-,-
The Homeland,"Na'na, Hamida",46931854,"Asser, Martin",19575983,Garnet,N,0,Y,1,1995,UK,Arabic,1979,Lebanon,F,0,Syria,34.802075,38.996815,M,1,UK,55.378051,-3.435973,Novel,159,,"Contents Page,   Translator's Note,   Note on Quotation,   Author's Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Using Life,"Naji, Ahmed",11148120444594790369,"Koerber, Benjamin",98151352048552602141,UT Austin,Y,1,Y,1,2017,USA,Arabic,2014,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,196,,"Dedication,   Contents Page,  Epilogue,   Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,PEN/Barbey Freedom to Write Award ,-
Gertrude,"Najmi, Hassan",244877856,"Allen, Roger",22256175,Interlink,N,0,Y,1,2013,USA,Arabic,2011,Morocco,M,1,Morocco,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,270,,"Contents Page,   Author Bio,   Translator Bio,   Translator's Acknowledgements,   Translator's Introduction,   Author's Works,   Bibliography",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Return to Dar al-Basha,"Nasr, Hassan",42093637,"Hutchins, William M.",12461356,Syracuse University Press,Y,1,Y,1,2006,USA,Arabic,1994,Tunisia,M,1,Tunisia,33.886917,9.537499,M,1,USA,37.09024,-95.712891,Novel,160,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Flight Against Time,"Nasrallah, Emily",51768345,"Boullata, Issa J.",272292988,Ragweed Press,N,0,N,0,1987,Canada,Arabic,1981,Lebanon,F,0,Lebanon,33.854721,35.862285,M,1,Canada,56.130366,-106.346771,Novel,202,,"Introduction,   Dedication",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Flight Against Time,"Nasrallah, Emily",51768345,"Boullata, Issa J.",272292988,Ragweed Press,N,0,Y,1,1997,Canada,Arabic,1981,Lebanon,F,0,Lebanon,33.854721,35.862285,M,1,Canada,56.130366,-106.346771,Novel,186,,"Preface,   Contents Page,   Notes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
What Happened to Zeeko,"Nasrallah, Emily",51768345,"Johnson-Davies, Denys",75051071,Naufal,N,0,N,0,2015,Lebanon,Arabic,1997,Lebanon,F,0,Lebanon,33.854721,35.862285,M,1,Egypt,26.820553,30.802498,Novel,120,,"Glossary,   Translator's Foreword,   Introduction,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,IBBY Honor List 1998,
The Fantastic Strokes of Imagination,"Nasrallah, Emily",51768345,"Porteous, Rebecca",250829304,Elias ,N,0,Y,1,1995,Egypt ,Arabic,1984,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Egypt,26.820553,30.802498,Short stories,89,,"Dedication,    postscript,   Contents Page",Y (Notes),1,-,,-,0,labneh,1,-,0,"mastaba, ibtisam",1,1,-,-
Inside the Night,"Nasrallah, Ibrahim",49386871,"Abbas, Bakr R. ",11682744,AUC,Y,1,Y,1,2007,Egypt,Arabic,1992,Lebanon,M,1,Jordan,30.585164,36.238414,M,1,-,,,Novel,182,,"Author Bio,   Translator Bio,   Book Reviews,   Contents Page,   Author's Preface,   Bibliography,   Glossary,  Notes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Prairies of Fever,"Nasrallah, Ibrahim",49386871,"Jayyusi, May & Reed, Jeremy","15007166, 92441683",Interlink,N,0,Y,1,1993,USA,Arabic,1985,Lebanon,M,1,Jordan,30.585164,36.238414,"F, M",-,"Israel, UK",32.0878504,34.7713073,Novel,154,,"Author Bio,   Translator Bio",Y (Notes),1,10,"Abu, dashdash, mutawwi, ustadh, mulukhiyya",mutawwi,1,mulukhiyya,1,dashdash,1,"abu, ustadh",1,0,-,-
The Lanterns of the King of Galilee: A Novel of 18th-Century Palestine,"Nasrallah, Ibrahim",49386871,"Roberts, Nancy",47001671,AUC,Y,1,Y,1,2015,Egypt,Arabic,1999,Lebanon,M,1,Jordan,30.585164,36.238414,F,0,USA,37.09024,-95.712891,Novel,544,,"Dedication,   Acknowledgements,   Author's Note,   Map,   Glossary,   Quotations,   Sources,   Footnotes",Y + Notes,1,53 (notes); 24 (glossary),"Notes - geographical explanations, historical notes about geography/empires/names of locations/customs, additions to the plot/characters' background that provide context",-,0,-,0,-,0,historical cultural explanations,1,1,-,-
Time of White Horses,"Nasrallah, Ibrahim",49386871,"Roberts, Nancy",47001671,Hoopoe,Y,1,Y,1,2016,Egypt,Arabic,2007,Lebanon,M,1,Jordan,30.585164,36.238414,F,0,"Amman, Jordan",31.9539494,35.910635,Novel,640,,None,Y (Notes),1,36,"bridal exchange, dalla, dhikr ceremony, fatiha, historical Lebanese/Arab figures, halawa, kinafa, maqluba, mulukhiya, qunbaz","dhikr ceremony, fatiha",1,"dalla, halawa, kinafa, maqluba, mulukhiya",1,qunbaz,1,bridal exchange,1,1,Shortlisted for 2009 International Prize for Arabic Fiction,-
Gaza Weddings,"Nasrallah, Ibrahim",49386871,"Roberts, Nancy",47001671,Hoopoe,Y,1,Y,1,2017,Egypt,Arabic,2004,Lebanon,M,1,Jordan,30.585164,36.238414,F,0,USA,37.09024,-95.712891,Novel,155,,"Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Land of No Rain,"Nasser, Amjad",69078789,"Wright, Jonathan",100760374,Bloomsbury Qatar,N,0,N,0,2014,Qatar,Arabic,2011,Lebanon,M,1,UK,55.378051,-3.435973,M,1,UK,55.378051,-3.435973,Novel,194,,"Contents Page,   Translator's Note,   Glossary",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Nights of Musk ,"Oddoul, Haggag Hassan",59361227,"Calderbank, Anthony",97716024,AUC,Y,1,N,0,2005,Egypt,Arabic,2002,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Short stories,119,,"Prologue,   Dedication,   Dedication,   Epilogue",Y,1,40,"Nubian terms, Arabic months, bango, bey, bismillah, fatiha, gallabiya, ibn, omda, uburty, al-Salaam, ya salaam","bismillah, al-Salaam",1,-,0,gallabiya,1,"Arabic months, bango, ibn, ya salaam",1,0,-,State Prize for Short Stories 1990
So You May See,"Prince, Mona",107787900,"Cohen, Raphael",82920405,AUC,Y,1,Y,1,2011,Egypt,Arabic,2008,Egypt,F,0,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,189,,"Map,   Dedication,   Author's Introduction",Y (Notes),1,1,Ibrahim al-Koni,-,0,-,0,-,0,-,0,1,-,-
Revolution is My Name,"Prince, Mona",107787900,"Mehrez, Samia",17550991,AUC,Y,1,Y,1,2014,Egypt,Arabic,2012,Egypt,F,0,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Memoir,191,,Glossary,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Moon Over Samarqand,"Qandil, Mohamed Mansil",51861493,"Peterson, Jennifer",170435766,AUC,Y,1,Y,1,2009,Egypt,Arabic,2004,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,411,,"Contents Page,   Translator's Acknowledgements,   Introduction",Y,1,4,"fuul, gallabiya, hummus al-shamm, tirmis",-,0,"fuul, hummus al-shamm, tirmis",1,gallabiya,1,-,0,0,Sawiris Foundation Award 2006,-
Rites of Assent,"Qasim, Abdel Hakim ",169031,"Theroux, Peter",92000990,Temple University,Y,1,Y,1,1995,USA,Arabic,1984,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novella,170,,"Dedication,   Author Bio,   Translator Bio,   Contents Page,   Translator's Acknowledgements,   Author's Introduction,   Translator's Introduction,   Notes,   Glossary",Y (Notes),1,16,"Muslim Brotherhood, plant names, haja, Qoranic references, mulaqqin, al-Azhar","haja, Qoranic references",1,-,0,-,0,Muslim brotherhood,1,1,-,-
A Child From the Village,"Qutb, Sayyid",62346581,"Calvert, John & Shepherd, William","79021720, 100210280",Syracuse University Press,Y,1,Y,1,2004,USA,Arabic,1946,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Short stories,137,,"Author and Translator Bio,   Map",Y + Notes,1,54 (notes); 71 (glossary),"ka'ba, 'ifrit, baraka, mashallah, zar, historical/Qoranic figures, 'arif, balila, faqih, fellahin, gallabiyya, hajj, iftar, jubba, kishk, mahzub, mawlid, mishmishiyya, mukhammar, quftan, raghif, Ramadan, rashta, rayyis, shahid, sarbatiyya, shaykh, suhur, sura, taqiya, tazyira, umma, wali, watani","ka'ba, baraka, zar, faqih, hajj, iftar, magzub, Ramadan, sura, wali",1,"balila, kishk, mishmishiyya, mukhammar, raghif, rashta",1,"gallabiyya, jubba, quftan, taqiya, tazyira",1,"mawlid, shaykh",1,1,-,-
Otared,"Rabie, Mohammad",49316415,"Moger, Robin",121559456,Hoopoe,Y,1,Y,1,2016,USA,Arabic,2014,Egypt,M,1,Egypt,26.820553,30.802498,M,1,South Africa,-30.559482,22.937506,Novel,341,,"Contents Page,   Glossary,   Translator's Afterword",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Crocodiles,"Rakha, Youssef",121146025,"Moger, Robin",121559456,Seven Stories Press,N,0,Y,1,2014,USA,Arabic,2013,Lebanon,M,1,Egypt,26.820553,30.802498,M,1,South Africa,-30.559482,22.937506,Novel,No page nos. (each paragraph is numbered),,"Dedication,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Book of the Sultan's Seal: Strange Incidents from History in the City of Mars,"Rakha, Youssef",121146025,"Starkey, Paul",116022327,Interlink,N,0,Y,1,2014,USA,Arabic,2011,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,347,,"Dedication,   Quotation,   Image,   Poem,   Quotations,   Author Bio,   Translator Bio,   Publisher Information",Y,1,214,"Cairo/Egypt geography, Egyptian historical/contemporary figures, 'ayn, Qoran suras, fatwa, gallabiya, hadith, halal, haram, imam, jubba, kaftan, kitab, madrasa, mamluks, mihrab, mukhtar, naskh, qibla, qisma, rak'a, al-salam 'alaykum, shisha, sultan, ustadh","Qoran suras, fatwa, hadith, haram, halal",1,-,0,"gallabiya, jubba, kaftan",1,"geography, people",1,1,-,2015 Saif Ghobash Banipal Prize for Arabic Literary Translation
Leaves of Narcissus,"Ramadan, Somaya",76591932,"Booth, Marilyn",,AUC,Y,1,Y,1,2002,Egypt,Arabic,2001,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,110,,"Quotation,   Glossary,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Medal,-
Wedding Night,"Rayya, Yusuf Abu",39663391,"Hewison, R. Neil",39483851,AUC,Y,1,Y,1,2006,Egypt,Arabic,2002,Egypt,M,1,Egypt,26.820553,30.802498,M,1,"Egypt, UK",30.0394077,31.2314328,Novel,124,,"Contents Page,   Translator's Foreword",Y,1,33,"1967 war, dayan, henna, kohl, osta, slaughter an animal already in its death throes, passages from the quran, bilela, gallabiya, hagg, mulukhiya","hagg, slaughter an animal already in its death throes, passages from the quran",1,"bilela, mulukhiya",1,gallabiya,1,"1967 war, dayan, henna, kohl, osta",1,0,Naguib Mahfouz Medal,-
Distant View of a Minaret,"Rifaat, Alifa",54157893,"Johnson-Davies, Denys",75051071,Quartet,N,0,N,0,1983,UK,Arabic,1981,Egypt,F,0,Egypt,26.820553,30.802498,M,1,"Egypt, Morocco",34.0175211,-6.824423,Short stories,116,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Days in the Diaspora,"Ruhayyim, Kamal",70326702,"Enany, Sarah ",280730501,AUC,Y,1,Y,1,2012,Egypt,Arabic,2008,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,293,,"Dedication,   Glossary",Y,1,69,"akta, Farid al-Atrash, ","ahl al-kitab, ahlan ya hajj, blessings on all your prophets, eid al-adha, eid al-fitr, fatiha, iftar, mashallah, prayer hall, rabuna, sura, zakat",1,"fatta, feseekh, halawa, koshari, menein",1,"castour, dishdasha, gallabiya, ugal",1,"bey, effendi, feddan, hanem, pasha, habibi, markaz, ma'allim",1,1,-,-
Diary of a Jewish Muslim,"Ruhayyim, Kamal",70326702,"Enany, Sarah ",280730501,AUC,Y,1,Y,1,2014,Egypt,Arabic,2004,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,236,,Glossary,Y,1,47,"abaya, alwash, amm, dervish, fesikh, gallabiya, ghazal al-banat, gibba, hagg, iftar, al-kawakeh, khawaga, ma'zoun, muallim, shaf' and witr, religious figures, sitt, taamiya, tahaggud, thanawiya amma, umda","hagg, shaf' and witr, religious figures, tahaggud",1,"alwash, fesikh, iftar, taamiya",1,"abaya, gallabiya, gibba",1,"amm, ghazal al-banat, muallim, ma'zoun, thanawiya amma, umda, sitt",1,1,-,-
Menorahs and Minarets,"Ruhayyim, Kamal",70326702,"Enany, Sarah ",280730501,Hoopoe,Y,1,Y,1,2017,USA,Arabic,2012,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,256,,"Contents Page,   Acknowledgements,   Editor's Introduction,   Glossary,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Hikayat: short stories by Lebanese women,"Saad Khalaf, Roseanne (editor); misc. authors",42084278,Misc.,-,Telegram,N,0,N,0,2006,UK,Arabic,Misc.,Misc.,F,0,Lebanon,33.854721,35.862285,F,0,Misc.,40.6726957,-73.9574853,Short stories,214,,"Book Reviews,   Author Bio,   Character List",Y,1,12,"bulgur, kishk, tabbouleh, mansef, al hamdullah, daye, khalte, rubbi, yallah",-,0,"bulgur, kishk, tabbouleh, mansef",1,-,0,"al hamdullah, daye, khalte, rubbi, yallah",1,0,-,-
Frankenstein in Baghdad,"Saadawi, Ahmed",41798503,"Wright, Jonathan",100760374,Penguin,N,0,N,0,2018,USA,Arabic,2013,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,UK,55.378051,-3.435973,Novel,281,,Contents Page,N,0,-,-,-,0,-,0,-,0,-,0,0,"Winner of International Prize for Arabic Fiction 2014, Winner of France's Grand Prize for Fantasy, Man Booker International Prize finalist",-
Ben Barka Lane,"Saeed, Mahmoud",54308811,"Heikkinen, Kay ",159960173,Interlink,N,0,Y,1,2013,USA,Arabic,1970,Egypt,M,1,Iraq,33.223191,43.679291,F,0,USA,37.09024,-95.712891,Novel,275,,"Contents Page,   Introduction,   Translator's Note,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,1994 Ministry of Information Award,-
A Portal in Space,"Saeed, Mahmoud",54308811,"Hutchins, William M. ",12461356,UT Austin at Austin,Y,1,Y,1,2015,USA,Arabic,2012,Germany,M,1,USA,37.09024,-95.712891,M,1,USA,37.09024,-95.712891,Novel,161,,"Quotation,   Glossary",Y (Notes),1,2,Kleecha,-,0,kleecha,1,-,0,-,0,0,-,-
Saddam City,"Saeed, Mahmoud",54308811,"Sadri, Ahmad",34589626,Saqi Books,N,0,N,0,2004,UK,Arabic,2004,Egypt,M,1,Iraq,33.223191,43.679291,M,1,USA,37.09024,-95.712891,Novel,124,,"Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The World Through the Eyes of Angels,"Saeed, Mahmoud",54308811,"Salter, Samuel & Jishi, Zahra & Abuinnab, Rafah","50844011, 187223165, 187406345",Syracuse University Press,Y,1,Y,1,2011,USA,Arabic,2006,Egypt,M,1,Iraq,33.223191,43.679291,"M, F, F",-,USA,37.09024,-95.712891,Novel,204,,"Author Bio,   Translator Bio,   Author's Preface",N,0,-,-,-,0,-,0,-,0,-,0,0,-,2010 University of Arkansas Arabic Translation Award
Cairo Swan Song,"Said, Mekkawi",34870646,"Talib, Adam ","$107,469,046.00",AUC,Y,1,Y,1,2009,Egypt,Arabic,2006,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,283,,"Quotation,   Glossary",Y,1,17,"Abdel-Halim Hafez, Fairuz, Ibn al-Arabi, Umm Kulthum, fatiha",Faitha,1,-,0,-,0,"Abdel-Halim Hafez, Fairuz, Ibn al-Arabi, Umm Kulthum,",1,1,2008 International Prize for Arabic Fiction Nominee,-
Cairo Swan Song,"Said, Mekkawi",34870646,"Talib, Adam ",107469046,AUC,Y,1,Y,1,2015,Egypt,Arabic,2006,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,283,,-,Y,1,17,"Abdel-Halim Hafez, Fairuz, Ibn al-Arabi, Umm Kulthum, faitha",Fatiha,1,-,0,-,0,"Abdel-Halim Hafez, Fairuz, Ibn al-Arabi, Umm Kulthum,",1,1,2008 International Prize for Arabic Fiction Nominee,-
The Wedding of Zein,"Salih, Tayeb",68971699,"Johnson-Davies, Denys ",75051071,Heinemann,N,0,N,0,1978,UK,Arabic,1969,Lebanon,M,1,Sudan,12.862807,30.217636,M,1,"Morocco, Egypt",34.0175211,-6.824423,Short stories,120,,"Dedication,   Contents Page,   Foreword,   Notes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Bandarshah,"Salih, Tayeb",68971699,"Johnson-Davies, Denys ",75051071,Kegan Paul International (UNESCO),N,0,Y,1,1996,USA,Arabic,1968,Lebanon,M,1,Sudan,12.862807,30.217636,M,1,"Morocco, Egypt",34.0175211,-6.824423,Novel,120,,"Contents Page,   Image",Y (Notes),1,52,"Fatiha, Ramadan, Koranic references, angel names","Fatiha, Ramadan, Koranic references, angel names",1,-,0,-,0,-,0,0,-,-
Season of Migration to the North ,"Salih, Tayeb",68971699,"Johnson-Davies, Denys ",75051071,Three Continents,N,0,N,0,1997,USA,Arabic,1966,Lebanon,M,1,Sudan,12.862807,30.217636,M,1,Egypt,26.820553,30.802498,Novel,169,,Glossary,N,0,-,-,-,0,-,0,-,0,-,0,0,"Most Important Arab Novel of Twentieth Century, Arab Literary Academy",-
